"caption","tags","author","status","image","category"
"I am a daydreamer and a night-thinker.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"You is kind. You is smart. You is important.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Bored AF.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Let’s fall in love again.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"You are my favorite distraction.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I miss you.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"You’re the best!","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"All I do is think of you.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I miss you like the summer season.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I look for you in everyone.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Your smile is a blessing.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Show anyone, and I’ll kill you.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I only sent this to you. That’s how special you are.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I want you to want me.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"You deserve better.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Be happy. It drives people crazy.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Sunday mornings are meant for you and me.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"It’s been a while since I’ve seen your face.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I’m drowning, and you can’t even see.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"As free as a bird.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I’m sorry I exist.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Wishing you were here.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Why so serious?","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Music on—world OFF!","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"You make me happy in a way no one else can.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I miss your voice.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Sleep tight.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I woke up like this.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"What have I become?","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I’ve been having a lot of bad days lately.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Why did you leave me alone?","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I get tired of being me sometimes.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I hate that I’m still hoping.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I see you in my dreams.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Do you have a name or can I call you mine?","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Thank you for making me feel less alone.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I just want to be the person you miss at 3 a.m.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"11:11 – I still waste my wishes on you.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"You have every right to a beautiful life.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"You hear music when broken.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"I can’t find my place in this world.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I like people I can have comfortable silences with.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Stay with me.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"It’s cold, and I need your warmth.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I like you.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I just wanted to say that you’re AWESOME!","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
